Player,Position,Height (in),Weight (lbs),Date of Birth,League,GP,G,A,TP,Season,,First,Last,Name+1,Name+2,Input Array
Charlie Leddy,D,73,184,01/11/2004,NCAA,39,0,8,8,2023,,Charlie,Leddy,,,"[""Charlie"",""Leddy"",""D"",""NCAA"",None,73,184,20.68,39,0,8,0.21,2024]"
Drew Fortescue,D,73,176,04/28/2005,NCAA,40,4,4,8,2023,,Drew,Fortescue,,,"[""Drew"",""Fortescue"",""D"",""NCAA"",None,73,176,19.38,40,4,8,0.2,2024]"
Albert Sjoberg,F,72,183,03/19/2003,SHL,39,3,2,5,2023,,Albert,Sjoberg,,,"[""Albert"",""Sjoberg"",""F"",""SHL"",None,72,183,21.49,39,3,5,0.13,2024]"
Danila Klimovich,F,74,202,01/09/2003,AHL,24,2,2,4,2023,,Danila,Klimovich,,,"[""Danila"",""Klimovich"",""F"",""AHL"",None,74,202,21.68,24,2,4,0.17,2024]"
Norwin Panocha,D,73,178,02/24/2005,QMJHL,52,0,15,15,2023,,Norwin,Panocha,,,"[""Norwin"",""Panocha"",""D"",""QMJHL"",None,73,178,19.56,52,0,15,0.29,2024]"
Emil Pieniniemi,D,75,180,03/02/2005,Liiga,38,2,4,6,2023,,Emil,Pieniniemi,,,"[""Emil"",""Pieniniemi"",""D"",""Liiga"",None,75,180,19.54,38,2,6,0.16,2024]"
Zach Nehring,F,75,179,03/07/2005,USHL,44,9,5,14,2023,,Zach,Nehring,,,"[""Zach"",""Nehring"",""F"",""USHL"",None,75,179,19.52,44,9,14,0.32,2024]"
Ty Murchison,D,74,192,02/02/2003,NCAA,37,3,4,7,2023,,Ty,Murchison,,,"[""Ty"",""Murchison"",""D"",""NCAA"",None,74,192,21.62,37,3,7,0.19,2024]"
Zeb Forsfjall,F,69,167,01/16/2005,SHL,41,3,2,5,2023,,Zeb,Forsfjall,,,"[""Zeb"",""Forsfjall"",""F"",""SHL"",None,69,167,19.66,41,3,5,0.12,2024]"
Dominik Badinka,D,75,183,11/27/2005,SHL,33,1,3,4,2023,,Dominik,Badinka,,,"[""Dominik"",""Badinka"",""D"",""SHL"",None,75,183,18.8,33,1,4,0.12,2024]"
Danil Zhilkin,F,73,192,12/19/2003,AHL,44,2,5,7,2023,,Danil,Zhilkin,,,"[""Danil"",""Zhilkin"",""F"",""AHL"",None,73,192,20.74,44,2,7,0.16,2024]"
Igor Chernyshov,F,75,204,11/30/2005,KHL,34,3,1,4,2023,,Igor,Chernyshov,,,"[""Igor"",""Chernyshov"",""F"",""KHL"",None,75,204,18.79,34,3,4,0.12,2024]"
Daniil Orlov,D,74,180,12/21/2003,KHL,60,2,5,7,2023,,Daniil,Orlov,,,"[""Daniil"",""Orlov"",""D"",""KHL"",None,74,180,20.73,60,2,7,0.12,2024]"
Austin Baker,F,72,190,02/12/2006,NTDP,59,15,16,31,2023,,Austin,Baker,,,"[""Austin"",""Baker"",""F"",""NTDP"",None,72,190,18.59,59,15,31,0.53,2024]"
Simon-Pier Brunet,D,74,196,10/24/2005,QMJHL,52,4,10,14,2023,,Simon-Pier,Brunet,,,"[""Simon-Pier"",""Brunet"",""D"",""QMJHL"",None,74,196,18.89,52,4,14,0.27,2024]"
Konnor Smith,D,78,215,11/06/2004,OHL,34,2,7,9,2023,,Konnor,Smith,,,"[""Konnor"",""Smith"",""D"",""OHL"",None,78,215,19.86,34,2,9,0.26,2024]"
Zachary Schulz,D,73,195,06/14/2005,NCAA,34,2,4,6,2023,,Zachary,Schulz,,,"[""Zachary"",""Schulz"",""D"",""NCAA"",None,73,195,19.25,34,2,6,0.18,2024]"
Eetu Liukas,F,75,200,09/25/2002,AHL,47,3,4,7,2023,,Eetu,Liukas,,,"[""Eetu"",""Liukas"",""F"",""AHL"",None,75,200,21.97,47,3,7,0.15,2024]"
Noah Warren,D,76,224,07/15/2004,QMJHL,50,6,7,13,2023,,Noah,Warren,,,"[""Noah"",""Warren"",""D"",""QMJHL"",None,76,224,20.17,50,6,13,0.26,2024]"
Rasmus Larsson,D,75,200,02/09/2004,USHL,59,4,13,17,2023,,Rasmus,Larsson,,,"[""Rasmus"",""Larsson"",""D"",""USHL"",None,75,200,20.6,59,4,17,0.29,2024]"
Tomas Machu,D,76,189,03/02/2003,USHL,60,1,16,17,2023,,Tomas,Machu,,,"[""Tomas"",""Machu"",""D"",""USHL"",None,76,189,21.54,60,1,17,0.28,2024]"
Elliott Groenewold,D,74,200,02/04/2006,USHL,57,5,11,16,2023,,Elliott,Groenewold,,,"[""Elliott"",""Groenewold"",""D"",""USHL"",None,74,200,18.61,57,5,16,0.28,2024]"
Aiden Celebrini,D,73,187,10/26/2004,NCAA,36,1,5,6,2023,,Aiden,Celebrini,,,"[""Aiden"",""Celebrini"",""D"",""NCAA"",None,73,187,19.89,36,1,6,0.17,2024]"
Dylan MacKinnon,D,74,197,01/12/2005,QMJHL,64,3,13,16,2023,,Dylan,MacKinnon,,,"[""Dylan"",""MacKinnon"",""D"",""QMJHL"",None,74,197,19.68,64,3,16,0.25,2024]"
Artur Cholach,D,74,198,06/06/2003,USHL,54,4,11,15,2023,,Artur,Cholach,,,"[""Artur"",""Cholach"",""D"",""USHL"",None,74,198,21.28,54,4,15,0.28,2024]"
Tyson Hinds,D,75,199,03/12/2003,AHL,71,2,8,10,2023,,Tyson,Hinds,,,"[""Tyson"",""Hinds"",""D"",""AHL"",None,75,199,21.51,71,2,10,0.14,2024]"
Aleksi Malinen,D,72,176,05/26/2003,Liiga,15,0,2,2,2023,,Aleksi,Malinen,,,"[""Aleksi"",""Malinen"",""D"",""Liiga"",None,72,176,21.3,15,0,2,0.13,2024]"
Filip Nordberg,D,77,211,03/05/2004,USHL,52,1,13,14,2023,,Filip,Nordberg,,,"[""Filip"",""Nordberg"",""D"",""USHL"",None,77,211,20.53,52,1,14,0.27,2024]"
Chase Cheslock,D,75,208,10/25/2004,NCAA,19,1,2,3,2023,,Chase,Cheslock,,,"[""Chase"",""Cheslock"",""D"",""NCAA"",None,75,208,19.89,19,1,3,0.16,2024]"
Brian Zanetti,D,74,181,03/15/2003,NL,38,0,6,6,2023,,Brian,Zanetti,,,"[""Brian"",""Zanetti"",""D"",""NL"",None,74,181,21.5,38,0,6,0.16,2024]"
Owen Mehlenbacher,F,74,189,01/26/2004,NCAA,26,1,3,4,2023,,Owen,Mehlenbacher,,,"[""Owen"",""Mehlenbacher"",""F"",""NCAA"",None,74,189,20.64,26,1,4,0.15,2024]"
Artem Guryev,D,76,225,05/17/2003,AHL,31,2,2,4,2023,,Artem,Guryev,,,"[""Artem"",""Guryev"",""D"",""AHL"",None,76,225,21.33,31,2,4,0.13,2024]"
Lucas Van Vliet,F,74,175,01/25/2006,NTDP,51,13,9,22,2023,,Lucas,Van,Vliet,,"[""Lucas"",""Van"",""F"",""NTDP"",None,74,175,18.64,51,13,22,0.43,2024]"
Nathan Mayes,D,76,200,06/10/2006,WHL,68,1,15,16,2023,,Nathan,Mayes,,,"[""Nathan"",""Mayes"",""D"",""WHL"",None,76,200,18.26,68,1,16,0.24,2024]"
Simon Zether,F,75,186,10/18/2005,SHL,42,0,4,4,2023,,Simon,Zether,,,"[""Simon"",""Zether"",""F"",""SHL"",None,75,186,18.91,42,0,4,0.1,2024]"
Evgenii Kashnikov,D,76,200,12/25/2002,KHL,65,2,4,6,2023,,Evgenii,Kashnikov,,,"[""Evgenii"",""Kashnikov"",""D"",""KHL"",None,76,200,21.72,65,2,6,0.09,2024]"
Terrell Goldsmith,D,76,223,05/13/2005,WHL,66,3,12,15,2023,,Terrell,Goldsmith,,,"[""Terrell"",""Goldsmith"",""D"",""WHL"",None,76,223,19.34,66,3,15,0.23,2024]"
Rico Gredig,F,72,186,02/01/2005,NL,28,2,2,4,2023,,Rico,Gredig,,,"[""Rico"",""Gredig"",""F"",""NL"",None,72,186,19.62,28,2,4,0.14,2024]"
Bauer Berry,D,76,198,10/31/2005,USHL,59,1,13,14,2023,,Bauer,Berry,,,"[""Bauer"",""Berry"",""D"",""USHL"",None,76,198,18.88,59,1,14,0.24,2024]"
Parker Alcos,D,75,180,07/20/2006,WHL,67,1,14,15,2023,,Parker,Alcos,,,"[""Parker"",""Alcos"",""D"",""WHL"",None,75,180,18.15,67,1,15,0.22,2024]"
Ty Gallagher,D,72,188,03/06/2003,NCAA,37,0,5,5,2023,,Ty,Gallagher,,,"[""Ty"",""Gallagher"",""D"",""NCAA"",None,72,188,21.53,37,0,5,0.14,2024]"
Artem Grushnikov,D,73,203,03/20/2003,AHL,44,1,4,5,2023,,Artem,Grushnikov,,,"[""Artem"",""Grushnikov"",""D"",""AHL"",None,73,203,21.49,44,1,5,0.11,2024]"
Gavin McCarthy,D,74,185,06/02/2005,NCAA,38,1,4,5,2023,,Gavin,McCarthy,,,"[""Gavin"",""McCarthy"",""D"",""NCAA"",None,74,185,19.29,38,1,5,0.13,2024]"
Stevie Leskovar,D,75,207,09/09/2004,OHL,61,2,10,12,2023,,Stevie,Leskovar,,,"[""Stevie"",""Leskovar"",""D"",""OHL"",None,75,207,20.02,61,2,12,0.2,2024]"
Owen Protz,D,73,213,02/07/2006,OHL,36,1,6,7,2023,,Owen,Protz,,,"[""Owen"",""Protz"",""D"",""OHL"",None,73,213,18.61,36,1,7,0.19,2024]"
Jesse Nurmi,F,70,170,03/07/2005,Liiga,19,0,2,2,2023,,Jesse,Nurmi,,,"[""Jesse"",""Nurmi"",""F"",""Liiga"",None,70,170,19.52,19,0,2,0.11,2024]"
Lucas Ciona,F,75,210,01/08/2003,AHL,55,4,2,6,2023,,Lucas,Ciona,,,"[""Lucas"",""Ciona"",""F"",""AHL"",None,75,210,21.69,55,4,6,0.11,2024]"
Kasper Kulonummi,D,73,186,03/01/2004,Liiga,40,0,4,4,2023,,Kasper,Kulonummi,,,"[""Kasper"",""Kulonummi"",""D"",""Liiga"",None,73,186,20.54,40,0,4,0.1,2024]"
Felix Nilsson,F,74,191,06/22/2005,SHL,41,1,2,3,2023,,Felix,Nilsson,,,"[""Felix"",""Nilsson"",""F"",""SHL"",None,74,191,19.23,41,1,3,0.07,2024]"
Nikolai Makarov,D,73,190,01/12/2003,KHL,28,0,2,2,2023,,Nikolai,Makarov,,,"[""Nikolai"",""Makarov"",""D"",""KHL"",None,73,190,21.68,28,0,2,0.07,2024]"
Kevin Bicker,F,72,176,01/29/2005,DEL,41,1,2,3,2023,,Kevin,Bicker,,,"[""Kevin"",""Bicker"",""F"",""DEL"",None,72,176,19.63,41,1,3,0.07,2024]"
Jack Phelan,D,74,171,05/28/2004,USHL,41,1,6,7,2023,,Jack,Phelan,,,"[""Jack"",""Phelan"",""D"",""USHL"",None,74,171,20.3,41,1,7,0.17,2024]"
Warren Clark,D,74,192,08/31/2004,NCAA,31,0,3,3,2023,,Warren,Clark,,,"[""Warren"",""Clark"",""D"",""NCAA"",None,74,192,20.04,31,0,3,0.1,2024]"
John Whipple,D,73,192,01/20/2006,NTDP,61,2,15,17,2023,,John,Whipple,,,"[""John"",""Whipple"",""D"",""NTDP"",None,73,192,18.65,61,2,17,0.28,2024]"
Matthew Morden,D,76,203,07/29/2004,NCAA,32,1,2,3,2023,,Matthew,Morden,,,"[""Matthew"",""Morden"",""D"",""NCAA"",None,76,203,20.13,32,1,3,0.09,2024]"
Luca Munzenberger,D,74,190,11/24/2002,NCAA,32,1,2,3,2023,,Luca,Munzenberger,,,"[""Luca"",""Munzenberger"",""D"",""NCAA"",None,74,190,21.81,32,1,3,0.09,2024]"
Ludvig Jansson,D,72,176,12/27/2003,SHL,50,0,3,3,2023,,Ludvig,Jansson,,,"[""Ludvig"",""Jansson"",""D"",""SHL"",None,72,176,20.72,50,0,3,0.06,2024]"
Tanner Henricks,D,75,192,07/25/2006,USHL,59,0,9,9,2023,,Tanner,Henricks,,,"[""Tanner"",""Henricks"",""D"",""USHL"",None,75,192,18.14,59,0,9,0.15,2024]"
EJ Emery,D,75,185,03/30/2006,NTDP,61,0,16,16,2023,,EJ,Emery,,,"[""EJ"",""Emery"",""D"",""NTDP"",None,75,185,18.46,61,0,16,0.26,2024]"
Jared Woolley,D,76,214,02/27/2006,OHL,37,3,2,5,2023,,Jared,Woolley,,,"[""Jared"",""Woolley"",""D"",""OHL"",None,76,214,18.55,37,3,5,0.14,2024]"
Ty Henry,D,74,197,07/19/2006,OHL,54,0,7,7,2023,,Ty,Henry,,,"[""Ty"",""Henry"",""D"",""OHL"",None,74,197,18.16,54,0,7,0.13,2024]"
Anton Olsson,D,74,202,01/26/2003,SHL,18,0,1,1,2023,,Anton,Olsson,,,"[""Anton"",""Olsson"",""D"",""SHL"",None,74,202,21.64,18,0,1,0.06,2024]"
Nicholas Vantassell,F,76,214,04/18/2004,NCAA,24,1,1,2,2023,,Nicholas,Vantassell,,,"[""Nicholas"",""Vantassell"",""F"",""NCAA"",None,76,214,20.41,24,1,2,0.08,2024]"
Will Skahan,D,76,209,05/14/2006,NTDP,60,5,9,14,2023,,Will,Skahan,,,"[""Will"",""Skahan"",""D"",""NTDP"",None,76,209,18.34,60,5,14,0.23,2024]"
Haakon Hanelt,F,72,194,06/01/2003,DEL,38,1,1,2,2023,,Haakon,Hanelt,,,"[""Haakon"",""Hanelt"",""F"",""DEL"",None,72,194,21.29,38,1,2,0.05,2024]"
Michael Fisher,D,74,193,05/02/2004,NCAA,29,1,1,2,2023,,Michael,Fisher,,,"[""Michael"",""Fisher"",""D"",""NCAA"",None,74,193,20.37,29,1,2,0.07,2024]"
Riku Tohila,F,77,190,12/04/2003,Liiga,39,1,1,2,2023,,Riku,Tohila,,,"[""Riku"",""Tohila"",""F"",""Liiga"",None,77,190,20.78,39,1,2,0.05,2024]"
Nikita Guslistov,F,70,178,05/30/2002,KHL,26,0,1,1,2023,,Nikita,Guslistov,,,"[""Nikita"",""Guslistov"",""F"",""KHL"",None,70,178,22.29,26,0,1,0.04,2024]"
Samu Bau,F,77,214,04/20/2004,Liiga,43,2,0,2,2023,,Samu,Bau,,,"[""Samu"",""Bau"",""F"",""Liiga"",None,77,214,20.4,43,2,2,0.05,2024]"
Nate Benoit,D,72,168,11/26/2002,NCAA,19,0,1,1,2023,,Nate,Benoit,,,"[""Nate"",""Benoit"",""D"",""NCAA"",None,72,168,21.8,19,0,1,0.05,2024]"
Jiri Felcman,F,76,198,04/17/2005,U20-Elit,26,8,15,23,2023,,Jiri,Felcman,,,"[""Jiri"",""Felcman"",""F"",""U20-Elit"",None,76,198,19.41,26,8,23,0.88,2024]"
Jakub Stancl,F,75,201,04/10/2005,J20 Nationell,28,7,7,14,2023,,Jakub,Stancl,,,"[""Jakub"",""Stancl"",""F"",""J20 Nationell"",None,75,201,19.43,28,7,14,0.5,2024]"
Larry Keenan,D,75,185,03/15/2005,BCHL,53,6,24,30,2023,,Larry,Keenan,,,"[""Larry"",""Keenan"",""D"",""BCHL"",None,75,185,19.5,53,6,30,0.57,2024]"
Albert Wikman,D,73,191,03/10/2005,J20 Nationell,45,3,17,20,2023,,Albert,Wikman,,,"[""Albert"",""Wikman"",""D"",""J20 Nationell"",None,73,191,19.51,45,3,20,0.44,2024]"
Axel Landen,D,73,185,03/29/2005,J20 Nationell,20,1,11,12,2023,,Axel,Landen,,,"[""Axel"",""Landen"",""D"",""J20 Nationell"",None,73,185,19.46,20,1,12,0.6,2024]"
Nikita Ishimnikov,D,75,194,04/21/2005,VHL,39,0,2,2,2023,,Nikita,Ishimnikov,,,"[""Nikita"",""Ishimnikov"",""D"",""VHL"",None,75,194,19.4,39,0,2,0.05,2024]"
Ryan MacPherson,F,72,176,03/02/2005,BCHL,54,16,22,38,2023,,Ryan,MacPherson,,,"[""Ryan"",""MacPherson"",""F"",""BCHL"",None,72,176,19.54,54,16,38,0.7,2024]"
Sean Keohane,D,76,182,11/04/2004,BCHL,25,6,8,14,2023,,Sean,Keohane,,,"[""Sean"",""Keohane"",""D"",""BCHL"",None,76,182,19.86,25,6,14,0.56,2024]"
Daniil Karpovich,D,75,209,12/06/2004,Belarus,49,2,9,11,2023,,Daniil,Karpovich,,,"[""Daniil"",""Karpovich"",""D"",""Belarus"",None,75,209,19.78,49,2,11,0.22,2024]"
Janne Peltonen,D,75,174,03/22/2005,U20 SM-sarja,46,6,9,15,2023,,Janne,Peltonen,,,"[""Janne"",""Peltonen"",""D"",""U20 SM-sarja"",None,75,174,19.48,46,6,15,0.33,2024]"
Stepan Zvyagin,F,72,161,04/16/2004,MHL,25,10,20,30,2023,,Stepan,Zvyagin,,,"[""Stepan"",""Zvyagin"",""F"",""MHL"",None,72,161,20.41,25,10,30,1.2,2024]"
Axel Hurtig,D,76,202,06/10/2005,J20 Nationell,27,3,8,11,2023,,Axel,Hurtig,,,"[""Axel"",""Hurtig"",""D"",""J20 Nationell"",None,76,202,19.26,27,3,11,0.41,2024]"
Dennis Good Bogg,D,73,191,03/02/2004,J20 Nationell,18,1,4,5,2023,,Dennis,Good,Bogg,,"[""Dennis"",""Good"",""D"",""J20 Nationell"",None,73,191,20.54,18,1,5,0.28,2024]"
Casper Nassen,F,76,205,04/11/2004,J20 Nationell,41,16,15,31,2023,,Casper,Nassen,,,"[""Casper"",""Nassen"",""F"",""J20 Nationell"",None,76,205,20.43,41,16,31,0.76,2024]"
Emil Jarventie,F,70,167,04/04/2005,Mestis,41,9,12,21,2023,,Emil,Jarventie,,,"[""Emil"",""Jarventie"",""F"",""Mestis"",None,70,167,19.45,41,9,21,0.51,2024]"
Kristian Kostadinski,D,77,213,05/20/2005,J20 Nationell,46,3,15,18,2023,,Kristian,Kostadinski,,,"[""Kristian"",""Kostadinski"",""D"",""J20 Nationell"",None,77,213,19.32,46,3,18,0.39,2024]"
Sebastian Bradshaw,F,75,196,05/26/2005,BCHL,41,5,9,14,2023,,Sebastian,Bradshaw,,,"[""Sebastian"",""Bradshaw"",""F"",""BCHL"",None,75,196,19.3,41,5,14,0.34,2024]"
Kalle Kangas,D,76,205,02/01/2005,Mestis,40,4,5,9,2023,,Kalle,Kangas,,,"[""Kalle"",""Kangas"",""D"",""Mestis"",None,76,205,19.62,40,4,9,0.23,2024]"
Artem Duda,D,73,187,04/08/2004,USports,12,2,5,7,2023,,Artem,Duda,,,"[""Artem"",""Duda"",""D"",""USports"",None,73,187,20.44,12,2,7,0.58,2024]"
Gleb Trikozov,F,74,201,08/12/2004,VHL,39,11,10,21,2023,,Gleb,Trikozov,,,"[""Gleb"",""Trikozov"",""F"",""VHL"",None,74,201,20.09,39,11,21,0.54,2024]"
Ludwig Persson,F,72,185,10/08/2003,Mestis,48,10,45,55,2023,,Ludwig,Persson,,,"[""Ludwig"",""Persson"",""F"",""Mestis"",None,72,185,20.94,48,10,55,1.15,2024]"
Arseni Koromyslov,D,75,180,11/03/2003,VHL,32,2,8,10,2023,,Arseni,Koromyslov,,,"[""Arseni"",""Koromyslov"",""D"",""VHL"",None,75,180,20.87,32,2,10,0.31,2024]"
Maximilian Kilpinen,F,72,165,02/13/2004,J20 Nationell,43,21,27,48,2023,,Maximilian,Kilpinen,,,"[""Maximilian"",""Kilpinen"",""F"",""J20 Nationell"",None,72,165,20.59,43,21,48,1.12,2024]"
Petr Hauser,F,75,200,09/19/2003,Czechia,30,0,7,7,2023,,Petr,Hauser,,,"[""Petr"",""Hauser"",""F"",""Czechia"",None,75,200,20.99,30,0,7,0.23,2024]"
Marc-Andre Gaudet,D,75,180,10/24/2003,ECHL,55,6,20,26,2023,,Marc-Andre,Gaudet,,,"[""Marc-Andre"",""Gaudet"",""D"",""ECHL"",None,75,180,20.89,55,6,26,0.47,2024]"
Jack Sparkes,D,79,227,10/20/2003,BCHL,30,2,7,9,2023,,Jack,Sparkes,,,"[""Jack"",""Sparkes"",""D"",""BCHL"",None,79,227,20.9,30,2,9,0.3,2024]"
Gustav Karlsson,F,73,165,10/31/2003,HockeyEttan,31,5,8,13,2023,,Gustav,Karlsson,,,"[""Gustav"",""Karlsson"",""F"",""HockeyEttan"",None,73,165,20.88,31,5,13,0.42,2024]"
Nils Juntorp,F,72,170,11/23/2003,HockeyEttan,36,6,10,16,2023,,Nils,Juntorp,,,"[""Nils"",""Juntorp"",""F"",""HockeyEttan"",None,72,170,20.81,36,6,16,0.44,2024]"
Nikita Yevseyev,D,73,187,05/10/2004,VHL,21,1,5,6,2023,,Nikita,Yevseyev,,,"[""Nikita"",""Yevseyev"",""D"",""VHL"",None,73,187,20.35,21,1,6,0.29,2024]"
Santeri Sulku,F,75,185,06/13/2004,Mestis,35,17,9,26,2023,,Santeri,Sulku,,,"[""Santeri"",""Sulku"",""F"",""Mestis"",None,75,185,20.26,35,17,26,0.74,2024]"
Artem Barabosha,D,75,189,03/18/2004,VHL,23,1,1,2,2023,,Artem,Barabosha,,,"[""Artem"",""Barabosha"",""D"",""VHL"",None,75,189,20.49,23,1,2,0.09,2024]"
Joel Ratkovic Berndtsson,F,72,178,10/18/2003,Mestis,22,4,7,11,2023,,Joel,Ratkovic,Berndtsson,,"[""Joel"",""Ratkovic"",""F"",""Mestis"",None,72,178,20.91,22,4,11,0.5,2024]"
James Fisher,F,74,170,04/28/2004,BCHL,54,20,16,36,2023,,James,Fisher,,,"[""James"",""Fisher"",""F"",""BCHL"",None,74,170,20.38,54,20,36,0.67,2024]"
Alexander Pelevin,D,73,183,05/16/2004,VHL,42,3,8,11,2023,,Alexander,Pelevin,,,"[""Alexander"",""Pelevin"",""D"",""VHL"",None,73,183,20.33,42,3,11,0.26,2024]"
Cade Littler,F,75,197,07/12/2004,BCHL,24,9,12,21,2023,,Cade,Littler,,,"[""Cade"",""Littler"",""F"",""BCHL"",None,75,197,20.18,24,9,21,0.88,2024]"
Ilya Fedotov,F,72,176,03/19/2003,VHL,10,2,7,9,2023,,Ilya,Fedotov,,,"[""Ilya"",""Fedotov"",""F"",""VHL"",None,72,176,21.49,10,2,9,0.9,2024]"
Evan Nause,D,74,192,01/20/2003,ECHL,28,0,5,5,2023,,Evan,Nause,,,"[""Evan"",""Nause"",""D"",""ECHL"",None,74,192,21.65,28,0,5,0.18,2024]"
Dmitry Kuzmin,D,70,188,04/23/2003,ECHL,24,2,7,9,2023,,Dmitry,Kuzmin,,,"[""Dmitry"",""Kuzmin"",""D"",""ECHL"",None,70,188,21.39,24,2,9,0.38,2024]"
Dmitri Kostenko,D,73,187,09/25/2002,VHL,22,8,12,20,2023,,Dmitri,Kostenko,,,"[""Dmitri"",""Kostenko"",""D"",""VHL"",None,73,187,21.97,22,8,20,0.91,2024]"
Olivier Nadeau,F,74,204,01/15/2003,ECHL,41,12,12,24,2023,,Olivier,Nadeau,,,"[""Olivier"",""Nadeau"",""F"",""ECHL"",None,74,204,21.67,41,12,24,0.59,2024]"
Gannon Laroque,D,74,200,08/20/2003,ECHL,9,0,2,2,2023,,Gannon,Laroque,,,"[""Gannon"",""Laroque"",""D"",""ECHL"",None,74,200,21.07,9,0,2,0.22,2024]"
Jake Chiasson,F,74,181,05/25/2003,ECHL,68,9,11,20,2023,,Jake,Chiasson,,,"[""Jake"",""Chiasson"",""F"",""ECHL"",None,74,181,21.31,68,9,20,0.29,2024]"
Kyle Masters,D,72,177,04/09/2003,ECHL,32,4,15,19,2023,,Kyle,Masters,,,"[""Kyle"",""Masters"",""D"",""ECHL"",None,72,177,21.43,32,4,19,0.59,2024]"
Jack Matier,D,78,205,04/08/2003,ECHL,52,6,11,17,2023,,Jack,Matier,,,"[""Jack"",""Matier"",""D"",""ECHL"",None,78,205,21.44,52,6,17,0.33,2024]"
Justin Robidas,F,68,176,03/13/2003,ECHL,32,12,15,27,2023,,Justin,Robidas,,,"[""Justin"",""Robidas"",""F"",""ECHL"",None,68,176,21.51,32,12,27,0.84,2024]"
Ty Voit,F,70,157,06/10/2003,ECHL,5,2,6,8,2023,,Ty,Voit,,,"[""Ty"",""Voit"",""F"",""ECHL"",None,70,157,21.26,5,2,8,1.6,2024]"
Isaac Belliveau,D,74,190,11/26/2002,ECHL,70,14,24,38,2023,,Isaac,Belliveau,,,"[""Isaac"",""Belliveau"",""D"",""ECHL"",None,74,190,21.8,70,14,38,0.54,2024]"
Bryce Montgomery,D,76,230,11/12/2002,ECHL,42,4,8,12,2023,,Bryce,Montgomery,,,"[""Bryce"",""Montgomery"",""D"",""ECHL"",None,76,230,21.84,42,4,12,0.29,2024]"
Francesco Arcuri,F,73,185,06/13/2003,ECHL,64,25,21,46,2023,,Francesco,Arcuri,,,"[""Francesco"",""Arcuri"",""F"",""ECHL"",None,73,185,21.26,64,25,46,0.72,2024]"
Theo Jacobsson,F,70,167,04/06/2003,HockeyEttan,32,8,16,24,2023,,Theo,Jacobsson,,,"[""Theo"",""Jacobsson"",""F"",""HockeyEttan"",None,70,167,21.44,32,8,24,0.75,2024]"
Ryan Mast,D,77,221,01/14/2003,ECHL,47,5,11,16,2023,,Ryan,Mast,,,"[""Ryan"",""Mast"",""D"",""ECHL"",None,77,221,21.67,47,5,16,0.34,2024]"
Jakub Kos,F,74,174,05/30/2003,Czechia,34,2,9,11,2023,,Jakub,Kos,,,"[""Jakub"",""Kos"",""F"",""Czechia"",None,74,174,21.29,34,2,11,0.32,2024]"
Kirill Tankov,F,73,180,03/26/2002,VHL,42,11,13,24,2023,,Kirill,Tankov,,,"[""Kirill"",""Tankov"",""F"",""VHL"",None,73,180,22.47,42,11,24,0.57,2024]"
Ivan Demidov,F,73,192,12/10/2005,MHL,30,23,37,60,2023,,Ivan,Demidov,,,"[""Ivan"",""Demidov"",""F"",""MHL"",None,73,192,18.76,30,23,60,2,2024]"
Adam Jiricek,D,75,178,06/28/2006,Czechia,19,0,1,1,2023,,Adam,Jiricek,,,"[""Adam"",""Jiricek"",""D"",""Czechia"",None,75,178,18.21,19,0,1,0.05,2024]"
Egor Surin,F,74,197,08/01/2006,MHL,42,22,30,52,2023,,Egor,Surin,,,"[""Egor"",""Surin"",""F"",""MHL"",None,74,197,18.12,42,22,52,1.24,2024]"
Stian Solberg,D,74,194,12/29/2005,Norway,42,5,10,15,2023,,Stian,Solberg,,,"[""Stian"",""Solberg"",""D"",""Norway"",None,74,194,18.71,42,5,15,0.36,2024]"
Dean Letourneau,F,79,210,02/21/2006,PHC,14,14,11,25,2023,,Dean,Letourneau,,,"[""Dean"",""Letourneau"",""F"",""PHC"",None,79,210,18.57,14,14,25,1.79,2024]"
Lucas Pettersson,F,71,168,04/17/2006,J20 Nationell,44,27,30,57,2023,,Lucas,Pettersson,,,"[""Lucas"",""Pettersson"",""F"",""J20 Nationell"",None,71,168,18.41,44,27,57,1.3,2024]"
Alfons Freij,D,73,187,02/12/2006,J20 Nationell,40,14,19,33,2023,,Alfons,Freij,,,"[""Alfons"",""Freij"",""D"",""J20 Nationell"",None,73,187,18.59,40,14,33,0.83,2024]"
Gabriel Eliasson,D,79,212,09/09/2006,J20 Nationell,36,1,5,6,2023,,Gabriel,Eliasson,,,"[""Gabriel"",""Eliasson"",""D"",""J20 Nationell"",None,79,212,18.02,36,1,6,0.17,2024]"
Colin Ralph,D,76,216,10/04/2005,USHS-Prep,57,8,58,66,2023,,Colin,Ralph,,,"[""Colin"",""Ralph"",""D"",""USHS-Prep"",None,76,216,18.95,57,8,66,1.16,2024]"
Jack Berglund,F,75,209,04/10/2006,J20 Nationell,41,15,19,34,2023,,Jack,Berglund,,,"[""Jack"",""Berglund"",""F"",""J20 Nationell"",None,75,209,18.43,41,15,34,0.83,2024]"
Leo Sahlin Wallenius,D,72,176,04/10/2006,J20 Nationell,43,11,31,42,2023,,Leo,Sahlin,Wallenius,,"[""Leo"",""Sahlin"",""D"",""J20 Nationell"",None,72,176,18.43,43,11,42,0.98,2024]"
